x,y,T,c,cp,k
0,0.005714211,1,1,4181.476862,0.605596674
0,0.002825497,1,1,4181.476862,0.605596674
0.004487928,0.004842147,1,0.9709545,4181.476862,0.605596674
0.006990576,0.008272766,1,0.975354148,4181.476862,0.605596674
0,0.011021687,1,1,4181.476862,0.605596674
0.007796067,0.015092975,1,0.984255338,4181.476862,0.605596674
0,0.019343093,1,1,4181.476862,0.605596674
0,0.194120948,1,1,4181.476862,0.605596674
0.00563417,0.195159872,1,0.961413647,4181.476862,0.605596674
0,0.197023386,1,1,4181.476862,0.605596674
0.008789699,0.022930498,1,0.987785569,4181.476862,0.605596674
0,0.027740981,1,1,4181.476862,0.605596674
0.009368435,0.035769244,1,0.990855042,4181.476862,0.605596674
0,0.042362083,1,1,4181.476862,0.605596674
0.010530907,0.05218684,1,0.992252043,4181.476862,0.605596674
0,0.058722562,1,1,4181.476862,0.605596674
0,0.189099199,1,1,4181.476862,0.605596674
0.006833364,0.191845145,1,0.974755271,4181.476862,0.605596674
0.010568016,0.066743503,1,0.993219023,4181.476862,0.605596674
0,0.073431912,1,1,4181.476862,0.605596674
0.010639211,0.080005932,1,0.993661201,4181.476862,0.605596674
0,0.08671567,1,1,4181.476862,0.605596674
0.010681421,0.093307295,1,0.993861059,4181.476862,0.605596674
0,0.100000095,1,1,4181.476862,0.605596674
0.010721223,0.106642936,1,0.993838513,4181.476862,0.605596674
0,0.113284516,1,1,4181.476862,0.605596674
0.010704436,0.119978778,1,0.993621054,4181.476862,0.605596674
0,0.126568277,1,1,4181.476862,0.605596674
0.010593749,0.133263544,1,0.993211131,4181.476862,0.605596674
0,0.141417817,1,1,4181.476862,0.605596674
0,0.182999887,1,1,4181.476862,0.605596674
0.007714442,0.186227189,1,0.983373963,4181.476862,0.605596674
0.010200192,0.148611741,1,0.992381417,4181.476862,0.605596674
0,0.158075516,1,1,4181.476862,0.605596674
0.009320741,0.165180558,1,0.990679584,4181.476862,0.605596674
0,0.173289777,1,1,4181.476862,0.605596674
0.008461667,0.177759865,1,0.987905264,4181.476862,0.605596674
1,0.194385297,1.019420028,0.065970317,4178.428585,0.61462707
1,0.197187122,1.019410125,0.05383207,4178.429792,0.614622614
0.995478848,0.195198756,1.019404461,0.064108895,4178.430482,0.614620065
1,0.189624105,1.019455807,0.113885136,4178.424228,0.614643171
0.992883429,0.191891694,1.019413035,0.090725998,4178.429437,0.614623923
