x,y,T,c,cp,k
0,0.005714211,1,1,4181.476862,0.605596674
0,0.002825497,1,1,4181.476862,0.605596674
0.004487928,0.004842147,1.001034311,0.970225563,4181.279171,0.606092369
0.006990576,0.008272766,1.001477834,0.974729473,4181.195649,0.606304417
0,0.011021687,1,1,4181.476862,0.605596674
0.007796067,0.015092975,1.001324089,0.983940202,4181.224517,0.606230946
0,0.019343093,1,1,4181.476862,0.605596674
0,0.194120948,1,1,4181.476862,0.605596674
0.00563417,0.195159872,1.001299748,0.960329831,4181.229095,0.606219311
0,0.197023386,1,1,4181.476862,0.605596674
0.008789699,0.022930498,1.001125904,0.987571911,4181.261861,0.606136184
0,0.027740981,1,1,4181.476862,0.605596674
0.009368435,0.035769244,1.000801265,0.990736482,4181.323357,0.605980827
0,0.042362083,1,1,4181.476862,0.605596674
0.010530907,0.05218684,1.000646651,0.992178426,4181.352787,0.605906778
0,0.058722562,1,1,4181.476862,0.605596674
0,0.189099199,1,1,4181.476862,0.605596674
0.006833364,0.191845145,1.001444646,0.974133829,4181.201873,0.606288561
0.010568016,0.066743503,1.000554567,0.993164778,4181.370358,0.605862658
0,0.073431912,1,1,4181.476862,0.605596674
0.010639211,0.080005932,1.00051512,0.993615472,4181.377895,0.605843754
0,0.08671567,1,1,4181.476862,0.605596674
0.010681421,0.093307295,1.000497797,0.99382205,4181.381206,0.605835452
0,0.100000095,1,1,4181.476862,0.605596674
0.010721223,0.106642936,1.000499637,0.993799168,4181.380855,0.605836333
0,0.113284516,1,1,4181.476862,0.605596674
0.010704436,0.119978778,1.000518314,0.993574862,4181.377284,0.605845285
0,0.126568277,1,1,4181.476862,0.605596674
0.010593749,0.133263544,1.000555947,0.99315452,4181.370094,0.605863319
0,0.141417817,1,1,4181.476862,0.605596674
0,0.182999887,1,1,4181.476862,0.605596674
0.007714442,0.186227189,1.001369078,0.98300073,4181.21606,0.606252449
0.010200192,0.148611741,1.000634429,0.99230403,4181.355117,0.605900922
0,0.158075516,1,1,4181.476862,0.605596674
0.009320741,0.165180558,1.000819606,0.99055628,4181.319872,0.605989608
0,0.173289777,1,1,4181.476862,0.605596674
0.008461667,0.177759865,1.00110694,0.987686654,4181.265442,0.606127114
1,0.194385297,1.083823315,0.000128876,4177.244021,0.640487917
1,0.197187122,1.08380451,6.46957E-05,4177.242592,0.640481261
