x,y,u,v,p
0,0.005714211,0.113006678,8.86546E-06,9.381916073
0,0.002825497,0.05670911,1.26149E-06,9.387771818
0.004487928,0.004842147,0.095797259,5.40036E-05,9.377127248
0.006990576,0.008272766,0.160709027,0.000123955,9.369344241
0,0.011021687,0.212013525,6.18593E-06,9.378023548
0.007796067,0.015092975,0.282656107,0.000129857,9.365608475
0,0.019343093,0.355695203,4.05337E-06,9.374014414
0,0.194120948,0.116167983,-8.27285E-06,9.38269845
0.00563417,0.195159872,0.095693604,-4.50767E-05,9.374209118
0,0.197023386,0.059696356,-2.19414E-06,9.387385584
0.008789699,0.022930498,0.412069544,-7.58998E-06,9.362314847
0,0.027740981,0.486398111,9.29077E-06,9.371312935
0.009368435,0.035769244,0.595158765,-0.000332374,9.361044369
0,0.042362083,0.679698538,6.4532E-06,9.370222299
0.010530907,0.05218684,0.781559555,-1.02404E-06,9.358077685
0,0.058722562,0.84443078,-1.64473E-06,9.365796559
0,0.189099199,0.209822702,-3.6645E-06,9.379351096
0.006833364,0.191845145,0.158620373,-8.48893E-05,9.370238658
0.010568016,0.066743503,0.901885279,-5.19228E-05,9.357623355
0,0.073431912,0.94601191,-3.68348E-06,9.367243894
0.010639211,0.080005932,0.974114986,-9.88981E-05,9.358073949
0,0.08671567,0.999892168,7.15143E-07,9.368873746
0.010681421,0.093307295,1.010336958,-2.42765E-05,9.357870229
0,0.100000095,1.017853671,3.07364E-07,9.368756505
0.010721223,0.106642936,1.010410852,2.2083E-05,9.357737102
0,0.113284516,0.999893006,-8.72525E-07,9.368761674
0.010704436,0.119978778,0.974121447,0.000101412,9.357801237
0,0.126568277,0.946013391,6.21469E-06,9.366062313
0.010593749,0.133263544,0.90213885,-2.30754E-05,9.357247231
0,0.141417817,0.843246584,-1.42533E-06,9.36585617
0,0.182999887,0.316667114,-1.10437E-05,9.374755912
0.007714442,0.186227189,0.260145909,-0.000178809,9.366677991
0.010200192,0.148611741,0.773754796,-0.000106679,9.359690013
0,0.158075516,0.674542921,-5.50637E-06,9.370299921
0.009320741,0.165180558,0.582205362,0.000567775,9.361935696
0,0.173289777,0.471130866,-6.72311E-06,9.369845176
0.008461667,0.177759865,0.400964485,4.23076E-05,9.362198738
1,0.194385297,0.111537828,6.87125E-06,0.00708714
1,0.197187122,0.056646008,-3.04507E-07,0.002968676
0.995478848,0.195198756,0.095404064,4.11691E-05,0.014191397
1,0.189624105,0.201017313,5.78245E-06,0.01055179
0.992883429,0.191891694,0.158263322,0.000166977,0.021696296
0.991877338,0.186595696,0.254422795,0.000321182,0.02597885
1,0.183381121,0.311058074,7.6527E-06,0.013675153
1,0.173608049,0.467812688,1.29243E-05,0.020741887
0.991122072,0.177263533,0.409615214,0.000439105,0.029956712
0.990576157,0.16501341,0.584600274,0.000125256,0.033285213
1,0.158269171,0.671309793,5.25407E-06,0.022437416
0.989568728,0.148496077,0.774609211,-0.000159169,0.035997102
1,0.141467718,0.842983959,-1.96676E-06,0.02391324
0.989261966,0.133129053,0.903406122,-0.000219825,0.036706434
1,0.126568149,0.946676664,-6.75524E-06,0.022875862
0.989235103,0.119911716,0.974481363,5.18242E-06,0.035836719
1,0.113284473,0.999430942,2.40666E-06,0.020939437
0.989267922,0.10659232,1.010144419,0.000105846,0.036411847
1,0.100000125,1.017322792,7.74337E-07,0.021453872
0.989287846,0.093295392,1.01007609,0.000107245,0.036414995
1,0.086715809,0.99947466,-4.08402E-06,0.020738413
0.989373247,0.079974465,0.974145409,0.000115962,0.03504942
1,0.073432237,0.946949864,1.06219E-05,0.023525822
0.989590453,0.066722805,0.902234667,0.000309064,0.036427329
1,0.057849624,0.836256533,-4.91621E-06,0.02326786
0.990020809,0.051006776,0.768513567,-1.53106E-05,0.033261783
1,0.040724225,0.658247728,-1.02147E-08,0.021966125
0.990680708,0.033932043,0.57138605,-0.000298791,0.032853375
1,0.026736681,0.473044944,-1.45006E-05,0.02125186
1,0.01708322,0.319694807,-6.26508E-06,0.01560322
0.991349007,0.021840362,0.395959937,-0.000481583,0.028687995
1,0.010347714,0.200668612,-9.38633E-06,0.010756565
0.991159535,0.013591178,0.257956005,-0.000285956,0.026910332
1,0.005788148,0.114903601,-5.1993E-06,0.007042738
0.993889701,0.007513618,0.147261988,-4.47088E-05,0.019195841
0.994456525,0.00473524,0.094083639,-2.90665E-05,0.015816153
1,0.002959355,0.059561465,-2.70913E-07,0.003429141
0.00857641,0.004899544,0.096892033,6.56271E-05,9.362550534
0.006993007,0.002825497,0.0564073,3.76586E-05,9.369010363
0.013986014,0.00292485,0.058373978,3.92456E-06,9.342556066
0.028970298,0.005464216,0.107762936,-2.34349E-05,9.293132465
0.027972028,0.003130196,0.06246075,-1.14292E-05,9.296489224
0.034965035,0.003220317,0.064259623,-1.04254E-05,9.272593947
0.021812573,0.005194418,0.102518222,-3.5915E-05,9.317674734
0.020979021,0.00303096,0.060441574,-1.381E-05,9.320671755
0.014463112,0.004773522,0.09438011,9.02595E-06,9.341326132
0.013745977,0.007075515,0.138230483,3.93496E-05,9.343608127
0.035838051,0.00553977,0.109261194,-3.10648E-05,9.269567078
0.041958042,0.003300747,0.065913698,-2.28372E-05,9.248524471
0.034718786,0.008324686,0.161797372,-4.4372E-05,9.273836776
0.027366679,0.008355532,0.162361208,-4.58391E-05,9.298432965
0.020370701,0.007772608,0.151410947,-8.37027E-05,9.322056465
0.014492573,0.011153942,0.213502338,5.50894E-05,9.340385878
0.006993007,0.197023386,0.059418552,-2.3258E-05,9.369121604
0.013158363,0.194734037,0.104025345,-9.55512E-06,9.345110857
0.013986014,0.196933145,0.061255368,-1.48874E-06,9.342530617
0.042641694,0.005656181,0.111606621,-5.44396E-05,9.245950702
0.048951049,0.003366685,0.067242155,6.74554E-06,9.223645803
0.041617548,0.00852267,0.165654527,-0.000131268,9.249402617
0.038028119,0.012353916,0.235084768,-0.000238214,9.262892949
0.031501787,0.013532269,0.255954004,2.78822E-05,9.28467402
0.023109186,0.013408157,0.253720821,-0.000173563,9.31343394
0.016864677,0.018907146,0.347490636,-3.81613E-05,9.332198065
0.020089923,0.194608651,0.106347689,8.53734E-06,9.323134724
0.020979021,0.196835722,0.063123843,3.51992E-06,9.320121562
0.015141619,0.19211536,0.153623514,-4.4649E-06,9.338817101
0.02717422,0.19441239,0.110190049,3.1923E-05,9.2984
0.027972028,0.196742459,0.065014159,1.22078E-05,9.295677214
0.034283497,0.194333149,0.111738699,-1.2844E-05,9.27403056
0.034965035,0.196659207,0.066649488,-8.35981E-06,9.27172897
0.049662263,0.005746576,0.113359236,1.35524E-05,9.221086332
0.055944056,0.003415192,0.068180015,-2.64857E-06,9.199278403
0.048258163,0.00861632,0.167428803,4.58998E-05,9.226147347
0.056722703,0.00593584,0.116963098,-3.44834E-06,9.196434855
0.062937063,0.003450716,0.068862436,1.44403E-05,9.174259315
0.044623039,0.013878619,0.262310136,-5.38519E-05,9.239125586
0.037616709,0.018057601,0.333279457,-0.000357853,9.267143182
0.028060245,0.022366171,0.403541536,5.34524E-05,9.296959765
0.018908728,0.029415888,0.509156682,-5.08139E-05,9.326177451
0.020358169,0.04500952,0.7060651,6.30774E-05,9.320818588
0.021033638,0.059905949,0.850841419,-2.85382E-05,9.318653681
0.012823708,0.188518291,0.219624749,-3.79917E-06,9.348147792
0.021861046,0.191732693,0.160732641,4.78806E-05,9.316243513
0.018111096,0.188309908,0.223220078,-8.37251E-05,9.327454041
0.028803328,0.191167204,0.171378247,5.52364E-05,9.293232499
0.041259525,0.194173818,0.114793703,3.28424E-05,9.25031151
0.041958042,0.196588686,0.068042701,1.4414E-05,9.248078117
0.035928226,0.191139764,0.171834831,-4.31091E-05,9.268326754
0.048178732,0.194013759,0.117942069,4.9377E-05,9.226740997
0.048951049,0.196532269,0.069218535,1.99483E-05,9.224097952
0.021281562,0.073170822,0.941629209,-0.000231034,9.318114477
0.021425019,0.086507866,0.996513165,-0.000138219,9.318083205
0.021462577,0.099933453,1.015107265,-2.34607E-05,9.317971867
0.063527869,0.006045318,0.119026105,3.70439E-05,9.17233775
0.06993007,0.003480115,0.069402491,2.79799E-06,9.150052461
0.05532382,0.008986019,0.174210093,-3.01811E-05,9.201378939
0.05158435,0.012878088,0.2443995,0.000122318,9.214128946
0.06201832,0.009239377,0.178901183,7.21786E-05,9.177603252
0.043885868,0.021126539,0.382767064,7.07605E-05,9.240501486
0.051247315,0.019700152,0.360043402,0.00024383,9.214357562
0.038302713,0.027605324,0.482392402,0.000147552,9.263692365
0.030117913,0.035636809,0.593299482,0.000606712,9.286792301
0.070413791,0.006021688,0.11853354,2.88218E-07,9.148305635
0.076923077,0.003507245,0.069953318,-1.08106E-05,9.125877956
0.031571333,0.05178591,0.777450771,0.000185782,9.281702091
0.032067409,0.065993469,0.897293413,-0.000263188,9.280417008
0.021497395,0.113348797,0.996909696,8.90306E-05,9.317783673
